Area,0 - 49,50 - 99,100 - 249,250 - 499,500 - 999,"1,000 - 4,999","5,000 +"
City of London,"3,785","2,820","4,725","2,895","2,370","1,750",580
Barking and Dagenham,"1,245","1,980","2,695","1,000",550,255,5
Barnet,"4,430","5,725","9,675","3,310","1,730",820,30
Bexley,"1,365","2,350","2,970","1,005",565,260,10
Brent,"2,760","3,605","5,270","2,000","1,120",580,40
Bromley,"2,265","3,595","5,160","1,785",870,435,20
Camden,"5,945","6,625","10,560","4,530","2,765","1,660",215
Croydon,"2,725","3,600","4,960","1,740",980,450,25
Ealing,"2,880","4,030","6,100","2,295","1,250",690,40
Enfield,"2,430","3,715","5,070","1,955","1,015",455,15
Greenwich,"1,725","2,590","3,500","1,115",545,260,10
Hackney,"4,220","5,820","8,120","2,805","1,590",925,40
Hammersmith and Fulham,"2,200","2,485","3,880","1,560",850,520,70
Haringey,"2,265","3,215","4,645","1,725",845,365,5
Harrow,"2,705","3,635","5,180","1,835","1,015",490,25
Havering,"1,425","2,470","3,440","1,370",750,365,20
Hillingdon,"2,230","3,420","4,750","1,705",915,500,75
Hounslow,"2,170","2,980","4,535","1,540",885,465,85
Islington,"4,210","4,715","6,800","2,415","1,495",900,130
Kensington and Chelsea,"2,450","2,450","4,165","1,990","1,120",635,40
Kingston upon Thames,"1,515","2,020","2,900","1,000",530,255,25
Lambeth,"2,515","3,185","4,470","1,590",855,490,30
Lewisham,"1,905","2,645","3,455","1,035",495,225,5
Merton,"1,795","2,590","3,870","1,455",715,340,15
Newham,"2,115","3,550","4,895","1,760",900,395,15
Redbridge,"2,250","3,570","5,405","1,885",910,395,5
Richmond upon Thames,"2,380","2,920","4,585","1,530",725,395,35
Southwark,"3,545","3,305","4,855","1,750","1,205",720,110
Sutton,"1,185","2,110","3,050","1,025",520,285,10
Tower Hamlets,"2,735","3,545","5,445","1,970","1,210",700,130
Waltham Forest,"1,990","3,085","4,295","1,520",710,335,5
Wandsworth,"2,805","3,530","5,595","1,955",935,460,25
Westminster,"9,595","7,555","13,695","7,150","5,430","3,820",605
