Code,Area,dhr_percent,tc_percent
E09000001,City of London,!,!
E09000002,Barking and Dagenham,17.9,13.3
E09000003,Barnet,10.1,19.9
E09000004,Bexley,15.2,11.3
E09000005,Brent,18.8,8.8
E09000006,Bromley,10,9.4
E09000007,Camden,18.2,13.2
E09000008,Croydon,20.3,8.4
E09000009,Ealing,10.3,10.3
E09000010,Enfield,13.8,10.8
E09000011,Greenwich,14.8,7.2
E09000012,Hackney,12.8,12.5
E09000013,Hammersmith and Fulham,12.1,12.9
E09000014,Haringey,11.4,10.7
E09000015,Harrow,17.3,17
E09000016,Havering,15.5,7
E09000017,Hillingdon,14.3,20.8
E09000018,Hounslow,16.9,21.5
E09000019,Islington,11.1,8
E09000020,Kensington and Chelsea,12.7,6.5
E09000021,Kingston upon Thames,10.6,15.3
E09000022,Lambeth,9.8,16.2
E09000023,Lewisham,11.8,10.2
E09000024,Merton,11.5,13.6
E09000025,Newham,19.3,16.1
E09000026,Redbridge,14.2,12.9
E09000027,Richmond upon Thames,12.4,13.3
E09000028,Southwark,8.3,14.1
E09000029,Sutton,10.5,10.1
E09000030,Tower Hamlets,15.3,18.3
E09000031,Waltham Forest,12.8,11.1
E09000032,Wandsworth,10.3,11.5
E09000033,Westminster,8.8,6.6
